timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
13695000,13687000,2.6757253e-11,6.700922e-06,0.012122839,5.7885285e-05,0.0013111073,0.0038018296,535,0,0.1742063,0.3995562,0.00832704,0.005712566,0.012547956,0.0015860682,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
13887000,13884000,2.860977e-11,6.9251555e-06,0.014351544,0.00012985336,0.0016905238,0.0025469782,535,0,0.17392178,0.39681822,0.00067984476,0.0059395493,0.029747676,0.0017119537,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
14092000,14087000,2.8475722e-11,7.3652195e-06,0.014586983,5.3667285e-05,0.0013452175,0.0037217918,535,0,0.17361684,0.3918731,0.00059308787,0.0035842638,0.019666057,0.0005853183,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
14288000,14284000,2.8080356e-11,7.0808865e-06,0.01482331,0.00019152887,0.002570704,0.0059011276,535,0,0.17336105,0.38735697,0.007437254,0.003507454,0.015681278,0.00054250524,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
14476000,14472000,2.7724817e-11,6.9323687e-06,0.013423662,8.672181e-05,0.0022070277,0.0045187846,535,0,0.17224725,0.38262647,0.003656693,0.0014279044,0.009027497,0.0007884847,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
14688000,14684000,3.325209e-11,7.6485785e-06,0.02077716,5.9592934e-05,0.001201365,0.0035693818,535,0,0.16867958,0.37878832,0.007324478,0.003411651,0.0125648435,0.00025958908,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
14886000,14885000,2.9136443e-11,7.213834e-06,0.019284824,0.00015661541,0.0022986622,0.0054478054,535,0,0.16908884,0.3753755,0.0002588233,0.0017933922,0.0263506,0.00097444747,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
15091000,15087000,2.7455843e-11,6.919614e-06,0.01797226,0.0001193192,0.0014673636,0.0014750065,535,0,0.17025307,0.3727828,0.006299715,0.001825246,0.019152125,0.0019579376,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
15295000,15290000,2.6130497e-11,6.609908e-06,0.016154135,0.00012132782,0.0010589787,0.0019154698,535,0,0.17122732,0.3703875,0.00057675136,0.008004669,0.011759893,0.00028548573,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
15488000,15483000,2.6425136e-11,6.5526024e-06,0.014963892,0.00011731209,0.0015614841,0.0009876643,535,0,0.17049955,0.36708868,0.001345666,0.0021002025,0.015206614,0.0002794347,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
