timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
38519000,38519000,0.0010273583,0.0004809329,-7.211866e-06,0.6084561,0.0,0.0,0.0,-1.0
38571000,38571000,0.0003421607,-0.00034974824,-2.8512433e-05,0.6085045,0.0,0.0,0.0,-1.0
38620000,38620000,0.0004768634,0.00023254429,-0.000117294665,0.60881925,0.0,0.0,0.0,-1.0
38675000,38675000,-0.00077737344,-0.0007692297,-2.6386572e-06,0.6090245,0.0,0.0,0.0,-1.0
38716000,38716000,-0.0004987185,-0.00035378675,-6.6692635e-05,0.6090707,0.0,0.0,0.0,-1.0
38772000,38772000,0.00026528805,6.0671635e-05,-4.4868902e-05,0.6088522,0.0,0.0,0.0,-1.0
38820000,38820000,0.0005844957,0.00068651565,-5.0096514e-05,0.6089972,0.0,0.0,0.0,-1.0
38872000,38872000,-1.6323058e-05,-8.3001796e-05,2.8090486e-05,0.6086796,0.0,0.0,0.0,-1.0
38919000,38919000,-0.0003964146,-0.00059825194,7.1788025e-05,0.6086489,0.0,0.0,0.0,-1.0
38971000,38971000,0.00039570744,0.0004432151,4.5133006e-06,0.6089601,0.0,0.0,0.0,-1.0
39020000,39020000,0.00015224336,0.00034678407,7.958377e-05,0.6089665,0.0,0.0,0.0,-1.0
39072000,39072000,4.4227898e-05,-0.000700462,6.4727246e-06,0.60923976,0.0,0.0,0.0,-1.0
39115000,39115000,0.0002242236,-0.00023301023,-8.645959e-05,0.60922855,0.0,0.0,0.0,-1.0
39171000,39171000,0.00021311904,-0.0008292725,3.2741314e-05,0.6089934,0.0,0.0,0.0,-1.0
39219000,39219000,0.00025210617,-8.3048784e-05,4.0637122e-05,0.60919654,0.0,0.0,0.0,-1.0
39272000,39272000,0.00039902833,0.00014837096,0.00013388514,0.60929906,0.0,0.0,0.0,-1.0
39320000,39320000,0.00013090056,6.7919675e-05,3.5308876e-05,0.6092638,0.0,0.0,0.0,-1.0
39372000,39372000,2.642603e-05,0.00071074464,-1.3251157e-06,0.6090708,0.0,0.0,0.0,-1.0
39419000,39419000,-0.0005595866,-0.00020762402,0.00021275869,0.6088578,0.0,0.0,0.0,-1.0
39471000,39471000,-0.0007937121,-0.0002985784,-6.359997e-05,0.6090907,0.0,0.0,0.0,-1.0
39519000,39519000,-0.00026940386,0.0003235212,-3.3112618e-05,0.6089966,0.0,0.0,0.0,-1.0
39575000,39575000,-4.5127927e-05,-0.0002533483,0.00011234066,0.60942614,0.0,0.0,0.0,-1.0
39620000,39620000,0.00040075532,-0.00073681964,-8.0569036e-05,0.6095391,0.0,0.0,0.0,-1.0
39672000,39672000,4.383299e-06,-4.88387e-06,-3.1641954e-05,0.6095976,0.0,0.0,0.0,-1.0
39716000,39716000,-0.00016288318,0.0010457516,9.9263874e-05,0.609723,0.0,0.0,0.0,-1.0
39772000,39772000,-0.0005518737,0.00033961708,-1.721981e-05,0.6096219,0.0,0.0,0.0,-1.0
39820000,39820000,1.4575853e-05,0.00020111591,0.000104382365,0.60939306,0.0,0.0,0.0,-1.0
39872000,39872000,-0.00031082798,-0.0012704236,-3.207068e-06,0.6094128,0.0,0.0,0.0,-1.0
39920000,39920000,0.00056604756,-0.00012790234,7.215255e-05,0.6091362,0.0,0.0,0.0,-1.0
39972000,39972000,0.0005305481,0.0010386863,-0.00012426458,0.6088964,0.0,0.0,0.0,-1.0
40020000,40020000,0.0006016621,1.8549035e-05,4.5058212e-05,0.60919434,0.0,0.0,0.0,-1.0
40072000,40072000,0.0007339756,-0.00038467758,0.00011877692,0.6089058,0.0,0.0,0.0,-1.0
40123000,40123000,-0.00070365804,0.0004046546,-7.286557e-05,0.6088386,0.0,0.0,0.0,-1.0
40172000,40172000,-0.0002890188,0.00076872355,0.00017779008,0.6089391,0.0,0.0,0.0,-1.0
40219000,40219000,0.0002863012,-0.0003198761,7.306758e-05,0.6087505,0.0,0.0,0.0,-1.0
40272000,40272000,0.00037811577,-0.0013100795,-7.155711e-05,0.6089426,0.0,0.0,0.0,-1.0
40320000,40320000,0.0004357404,0.00015811023,-6.573272e-06,0.6094046,0.0,0.0,0.0,-1.0
40371000,40371000,-0.00023363844,0.00018469202,-0.00019010619,0.6097126,0.0,0.0,0.0,-1.0
