timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
23511000,1310988,1310988,1310996,1311004,0,0.0016623279,0.002001325,0.0007793715,0.0,1310988,1310988,1310996,1311004,0,0.00052093796,0.00025383953,0.0002784271,0.0,1,1,1,0,1,1,1,0
23720000,1310988,1310988,1310996,1311004,0,0.0008892379,0.0012968088,0.0008455325,0.0,1310988,1310988,1310996,1311004,0,0.00019357374,8.847599e-05,0.00014603348,0.0,1,1,1,0,1,1,1,0
23915000,1310988,1310988,1310996,1311004,0,0.0021749139,0.0010088675,0.0029647327,0.0,1310988,1310988,1310996,1311004,0,0.00036013813,0.00014651252,0.0002140487,0.0,1,1,1,0,1,1,1,0
24111000,1310988,1310988,1310996,1311004,0,0.0013281666,0.0013021595,0.0025557035,0.0,1310988,1310988,1310996,1311004,0,0.00011828804,0.00011179677,0.0001118685,0.0,1,1,1,0,1,1,1,0
24317000,1310988,1310988,1310996,1311004,0,0.001678821,0.0012115021,0.000593248,0.0,1310988,1310988,1310996,1311004,0,0.00036265232,0.0001514014,0.00021287725,0.0,1,1,1,0,1,1,1,0
24512000,1310988,1310988,1310996,1311004,0,0.0031574846,0.0016118544,0.001569679,0.0,1310988,1310988,1310996,1311004,0,9.861792e-05,2.9086214e-05,7.040541e-05,0.0,1,1,1,0,1,1,1,0
24712000,1310988,1310988,1310996,1311004,0,0.0021391562,0.0020372295,0.0006424824,0.0,1310988,1310988,1310996,1311004,0,0.00034955714,0.00020682572,0.00015757192,0.0,1,1,1,0,1,1,1,0
24912000,1310988,1310988,1310996,1311004,0,0.0015963198,0.0013714735,0.0009629942,0.0,1310988,1310988,1310996,1311004,0,0.00037266058,0.00023430468,0.00016656172,0.0,1,1,1,0,1,1,1,0
25112000,1310988,1310988,1310996,1311004,0,0.001990363,0.001854919,0.0013074318,0.0,1310988,1310988,1310996,1311004,0,0.00048549438,0.0002323619,0.0002584786,0.0,1,1,1,0,1,1,1,0
25311000,1310988,1310988,1310996,1311004,0,0.00089524995,0.0012182439,0.0013232622,0.0,1310988,1310988,1310996,1311004,0,0.00047037652,0.0002762649,0.00021115101,0.0,1,1,1,0,1,1,1,0
