timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
36663000,-0.15417722,-0.1545652,14.670679,1.0
36671000,-0.26018214,-0.2608366,14.6701,1.0
36676000,-0.25323066,-0.25386813,14.671176,1.0
36683000,-0.30885828,-0.30963546,14.670556,1.0
36687000,0.19651923,0.19701402,14.671434,1.0
36691000,0.30525595,0.306024,14.670404,1.0
36695000,-0.2073709,-0.20789288,14.67102,1.0
36703000,-0.19580466,-0.19629724,14.670198,1.0
36712000,0.1961501,0.19664384,14.671074,1.0
36717000,-0.25145632,-0.25208917,14.670877,1.0
36723000,0.22669183,0.22726268,14.670719,1.0
36731000,0.29116628,0.2918992,14.670161,1.0
36737000,0.09050544,0.09073331,14.67044,1.0
36744000,-0.10243992,-0.10269803,14.671571,1.0
36752000,-0.070285924,-0.07046283,14.67007,1.0
36755000,-0.26304972,-0.26371196,14.670386,1.0
36761000,0.24636884,0.24698898,14.670121,1.0
36772000,0.1417875,0.14214478,14.670267,1.0
36775000,-0.2981226,-0.29887387,14.670335,1.0
36787000,-0.26273823,-0.2634005,14.670779,1.0
36792000,-0.21383595,-0.21437514,14.671253,1.0
36795000,-0.3056736,-0.30644378,14.6701565,1.0
36803000,0.2917637,0.2924991,14.6706915,1.0
36817000,-0.23047407,-0.23105532,14.671505,1.0
36824000,-0.26062694,-0.26128364,14.6701975,1.0
36833000,0.12747413,0.1277953,14.671443,1.0
36847000,0.2218147,0.22237344,14.671147,1.0
36852000,0.07966689,0.07986756,14.671059,1.0
36859000,-0.10692483,-0.10719416,14.671118,1.0
36868000,-0.23533909,-0.23593208,14.671593,1.0
36873000,-0.09387486,-0.09411116,14.670198,1.0
36881000,-0.30026385,-0.30101937,14.671347,1.0
36887000,0.30953658,0.3103153,14.671198,1.0
36895000,0.15698081,0.15737557,14.6705265,1.0
36903000,0.31252685,0.31331304,14.670998,1.0
36907000,-0.1301663,-0.13049367,14.670711,1.0
36911000,0.14282463,0.143184,14.671323,1.0
36923000,-0.29742083,-0.29816923,14.671457,1.0
36932000,-0.084495455,-0.084708,14.671255,1.0
36944000,-0.11816646,-0.118463516,14.670366,1.0
36948000,-0.3104177,-0.31119826,14.670703,1.0
36952000,-0.025283884,-0.025347445,14.670388,1.0
36955000,0.27016073,0.2708399,14.670397,1.0
36964000,-0.21230824,-0.2128421,14.670795,1.0
36972000,0.30177757,0.30253646,14.670847,1.0
36979000,-0.12145743,-0.12176279,14.670543,1.0
36983000,-0.18743558,-0.18790767,14.670102,1.0
36991000,-0.31138662,-0.3121715,14.671217,1.0
37003000,0.24129474,0.24190256,14.670284,1.0
37008000,0.16151845,0.16192557,14.671211,1.0
37011000,0.2339998,0.23458941,14.670691,1.0
37019000,0.25202054,0.2526557,14.671035,1.0
37028000,0.13326019,0.13359599,14.670787,1.0
37035000,-0.29879612,-0.29954827,14.670711,1.0
37039000,0.30780682,0.30858156,14.670565,1.0
37048000,0.05214139,0.052272703,14.671385,1.0
37051000,-0.2681474,-0.26882246,14.670808,1.0
37059000,0.3045332,0.30530006,14.6711645,1.0
37068000,0.026417233,0.026483763,14.671383,1.0
37076000,-0.277442,-0.27814022,14.670379,1.0
37079000,0.21607521,0.21661937,14.6713705,1.0
37083000,0.3093349,0.31011376,14.670984,1.0
37091000,0.20286678,0.20337759,14.671263,1.0
37095000,-0.25438964,-0.25502977,14.67028,1.0
37105000,0.16386347,0.16427605,14.6712265,1.0
37113000,0.15146235,0.15184358,14.670737,1.0
37120000,0.21592847,0.21647175,14.670174,1.0
37128000,0.26774183,0.26841554,14.670286,1.0
37131000,0.17916897,0.17962003,14.670975,1.0
37135000,-0.24172339,-0.24233195,14.671058,1.0
37139000,0.30576313,0.30653298,14.671045,1.0
37147000,-0.27986228,-0.28056663,14.670418,1.0
37155000,0.25283945,0.253476,14.670828,1.0
37160000,0.10624887,0.10651647,14.671512,1.0
37163000,-0.1248811,-0.12519558,14.671238,1.0
37172000,0.30462843,0.30539507,14.670325,1.0
37177000,-0.30173403,-0.30249384,14.671208,1.0
37188000,0.03662216,0.036714386,14.671276,1.0
37199000,0.3056497,0.3064187,14.670214,1.0
37203000,-0.22596708,-0.22653602,14.671284,1.0
37207000,0.28100494,0.28171223,14.6707735,1.0
37216000,-0.300913,-0.30167022,14.670494,1.0
37219000,-0.2540492,-0.25468856,14.670594,1.0
37223000,0.17423043,0.17466903,14.671023,1.0
37227000,-0.16972916,-0.17015642,14.671017,1.0
37231000,-0.24446554,-0.24508095,14.67105,1.0
37235000,-0.29578465,-0.2965292,14.670965,1.0
37238000,0.13728672,0.1376324,14.671391,1.0
37244000,-0.079566985,-0.079767294,14.671032,1.0
37251000,-0.11123172,-0.11151183,14.671436,1.0
37259000,-0.30711007,-0.30788288,14.670443,1.0
37271000,-0.2951916,-0.2959344,14.670376,1.0
37275000,0.17583191,0.17627469,14.671435,1.0
37280000,-0.123946905,-0.124258935,14.670991,1.0
37283000,0.035565514,0.035655078,14.671518,1.0
37296000,-0.11463986,-0.11492836,14.6716385,1.0
37299000,0.10876777,0.109041214,14.67021,1.0
37304000,-0.13463473,-0.13497339,14.671032,1.0
37307000,0.1315872,0.13191816,14.67083,1.0
37312000,0.31114104,0.3119237,14.671022,1.0
37319000,-0.30767652,-0.30845016,14.670509,1.0
37331000,0.29838106,0.2991313,14.670407,1.0
37343000,0.06918851,0.06936254,14.670936,1.0
37351000,-0.1856808,-0.18614821,14.671047,1.0
37359000,-0.1985762,-0.19907577,14.670246,1.0
37367000,0.31245756,0.31324437,14.671594,1.0
37377000,0.19375162,0.19423929,14.670874,1.0
37381000,0.2825898,0.2833009,14.670598,1.0
37384000,0.02486715,0.02492973,14.670722,1.0
37391000,0.26490027,0.26556697,14.670814,1.0
37396000,0.19268401,0.19316904,14.671041,1.0
37399000,-0.26284555,-0.26350722,14.671318,1.0
37407000,-0.19165668,-0.19213915,14.671342,1.0
37411000,-0.28409272,-0.28480765,14.670865,1.0
37420000,-0.11551669,-0.11580749,14.671351,1.0
37423000,-0.2714518,-0.2721348,14.670624,1.0
37431000,-0.121298246,-0.12160362,14.671495,1.0
37439000,0.30729657,0.30806977,14.670682,1.0
37453000,-0.24472086,-0.24533668,14.670785,1.0
37463000,-0.25785,-0.25849876,14.670509,1.0
37467000,-0.045072976,-0.04518636,14.670193,1.0
37471000,-0.12586074,-0.12617743,14.670613,1.0
37475000,-0.2775675,-0.27826577,14.670304,1.0
37478000,-0.25920317,-0.2598552,14.670201,1.0
37488000,0.21290301,0.21343896,14.671233,1.0
37493000,0.29874647,0.29949865,14.671551,1.0
37501000,0.09300887,0.09324298,14.671109,1.0
37512000,0.07048327,0.0706608,14.671064,1.0
37516000,-0.18859558,-0.18907079,14.671556,1.0
37519000,0.26632977,0.26700047,14.670731,1.0
37523000,-0.26552,-0.26618892,14.671286,1.0
37531000,-0.24510579,-0.24572286,14.670385,1.0
37540000,0.29867843,0.29943055,14.670673,1.0
37543000,-0.22714038,-0.2277126,14.671328,1.0
37551000,-0.055287186,-0.055426482,14.671403,1.0
37555000,-0.26663294,-0.26730466,14.671283,1.0
37563000,-0.30361608,-0.3043801,14.671183,1.0
37568000,0.21751083,0.21805778,14.670172,1.0
37572000,0.31060126,0.31138238,14.670319,1.0
37577000,-0.23471044,-0.2353007,14.670294,1.0
37584000,-0.26966336,-0.27034175,14.670752,1.0
37587000,0.20217606,0.20268463,14.6706085,1.0
37592000,-0.21768412,-0.21823159,14.67037,1.0
37601000,-0.26365224,-0.2643154,14.670599,1.0
37603000,0.14794512,0.14831722,14.670431,1.0
37615000,0.1704191,0.1708485,14.670346,1.0
37623000,-0.22031233,-0.22086793,14.671527,1.0
37627000,-0.30086833,-0.3016266,14.670562,1.0
37636000,-0.25934586,-0.25999945,14.670557,1.0
37639000,-0.22375612,-0.22432019,14.671,1.0
37647000,0.2092231,0.20975041,14.670694,1.0
37651000,-0.213934,-0.21447349,14.671515,1.0
37659000,-0.15094793,-0.15132849,14.671137,1.0
37664000,0.24316391,0.2437757,14.670135,1.0
37672000,0.22411266,0.2246767,14.670593,1.0
37679000,-0.13792372,-0.13827083,14.670549,1.0
37688000,-0.2642921,-0.2649574,14.670936,1.0
37691000,-0.12464567,-0.12495937,14.670598,1.0
37696000,-0.309447,-0.31022575,14.670557,1.0
37700000,-0.20800962,-0.20853315,14.67068,1.0
37703000,0.21615615,0.21670024,14.670827,1.0
37711000,0.2734641,0.27415243,14.670704,1.0
37719000,0.076021716,0.0762131,14.670547,1.0
37723000,-0.29694292,-0.2976905,14.67059,1.0
37728000,0.17752068,0.17796762,14.670641,1.0
37731000,-0.2285458,-0.22912124,14.670757,1.0
37743000,0.24843088,0.24905653,14.671061,1.0
37751000,-0.11996066,-0.12026265,14.670518,1.0
37755000,0.16361621,0.16402805,14.670342,1.0
37760000,-0.11284931,-0.11313361,14.671551,1.0
37764000,-0.24058594,-0.24119143,14.670143,1.0
37772000,-0.25739044,-0.25803894,14.671263,1.0
37775000,0.27491236,0.27560487,14.671045,1.0
37783000,-0.17202292,-0.17245644,14.671664,1.0
37794000,0.17737092,0.17781755,14.670475,1.0
37800000,0.2916242,0.29235876,14.670967,1.0
37807000,-0.2985068,-0.2992588,14.671134,1.0
37815000,-0.113346025,-0.1136315,14.670828,1.0
37823000,0.107524365,0.107794814,14.671452,1.0
37828000,-0.24041891,-0.2410235,14.671133,1.0
37832000,-0.1919073,-0.19238992,14.671245,1.0
37836000,0.020411056,0.020462401,14.671676,1.0
37839000,0.29639158,0.297137,14.671303,1.0
37843000,0.15617767,0.1565705,14.671461,1.0
37851000,0.28677145,0.28749257,14.671079,1.0
37855000,-0.16567867,-0.16609511,14.670449,1.0
37863000,-0.311514,-0.3122973,14.671071,1.0
37872000,0.1958993,0.19639201,14.670319,1.0
37875000,-0.21248771,-0.21302254,14.67132,1.0
37883000,-0.2381646,-0.23876381,14.670701,1.0
37893000,0.18605974,0.18652776,14.670442,1.0
37897000,0.18226425,0.18272264,14.670169,1.0
37901000,-0.20203167,-0.20253989,14.670513,1.0
37912000,-0.1570735,-0.15746866,14.670677,1.0
37921000,0.2167691,0.21731453,14.670861,1.0
37928000,-0.17863134,-0.17908116,14.671185,1.0
37931000,0.22190343,0.2224623,14.671371,1.0
37939000,0.20017207,0.20067607,14.670944,1.0
37951000,-0.08510234,-0.08531661,14.670975,1.0
37956000,0.13751101,0.13785736,14.671437,1.0
37968000,-0.21947215,-0.22002456,14.670508,1.0
37976000,0.27604076,0.27673554,14.670476,1.0
37981000,-0.24706888,-0.24769069,14.670612,1.0
37992000,0.20131119,0.20181793,14.67087,1.0
37995000,0.24243765,0.24304792,14.67087,1.0
38003000,-0.30242473,-0.30318612,14.671076,1.0
38007000,0.14590235,0.14626981,14.671598,1.0
38019000,-0.23703197,-0.23762894,14.671632,1.0
38023000,-0.20539275,-0.20590955,14.670281,1.0
38027000,-0.17589939,-0.17634235,14.671468,1.0
38031000,0.22142696,0.22198397,14.67088,1.0
38039000,-0.14546503,-0.14583105,14.671201,1.0
38043000,0.25425926,0.2548991,14.671412,1.0
38047000,-0.22539775,-0.22596462,14.670542,1.0
38057000,0.26505375,0.2657205,14.670786,1.0
38063000,0.3127724,0.31355956,14.671525,1.0
38067000,0.015368466,0.015407115,14.67047,1.0
38073000,-0.10553637,-0.105801776,14.670485,1.0
38083000,-0.2513693,-0.25200182,14.670636,1.0
38087000,0.2984894,0.29924083,14.671269,1.0
38096000,0.16352366,0.16393523,14.670944,1.0
38099000,0.3099333,0.31071296,14.670186,1.0
38103000,-0.25751087,-0.25815868,14.670274,1.0
38108000,0.19877344,0.19927375,14.671029,1.0
38111000,0.31191227,0.31269696,14.67035,1.0
38120000,-0.29741162,-0.29816,14.670622,1.0
38123000,0.2769982,0.27769542,14.671078,1.0
38133000,0.16625418,0.16667284,14.671356,1.0
38143000,-0.18983994,-0.19031799,14.671373,1.0
38152000,-0.2601147,-0.26076925,14.67032,1.0
38157000,0.044212952,0.04432428,14.671278,1.0
38163000,-0.15172775,-0.15210986,14.671477,1.0
38167000,-0.13580236,-0.13614437,14.671488,1.0
38172000,0.2151512,0.21569265,14.67047,1.0
38183000,0.28594786,0.2866674,14.670544,1.0
38188000,0.21021111,0.21074013,14.67066,1.0
38192000,0.13232426,0.13265736,14.671046,1.0
38195000,0.07681815,0.07701146,14.6705065,1.0
38203000,0.3358216,0.33666685,14.670851,1.0
38212000,0.34128684,0.3421462,14.671381,1.0
38216000,-0.11539632,-0.11568694,14.671687,1.0
38220000,0.21359687,0.21413466,14.671323,1.0
38232000,-0.17862558,-0.17907512,14.670633,1.0
38240000,0.37115264,0.37208644,14.670945,1.0
38243000,0.16795257,0.16837518,14.671194,1.0
38247000,-0.0131703345,-0.013203482,14.671547,1.0
